순위,모델명,판매량,점유율,전월대비,전년대비
1,쏘렌토,9364,18.6,8777 587▲,0 9364▲
2,스포티지,5982,11.9,4707 1275▲,5762 220▲
3,카니발,5857,11.6,0 5857▲,0 5857▲
4,봉고 3,5512,11.0,4183 1329▲,6272 760▼
5,셀토스,4446,8.8,3008 1438▲,3449 997▲
6,K5,3783,7.5,0 3783▲,0 3783▲
7,레이,3200,6.4,3524 324▼,4098 898▼
8,K8,2799,5.6,2248 551▲,3867 1068▼
9,모닝,2111,4.2,2225 114▼,0 2111▲
10,K3,1428,2.8,939 489▲,2114 686▼
11,레이 EV,1387,2.8,1300 87▲,0 1387▲
12,니로,1293,2.6,1359 66▼,1738 445▼
13,EV6,1096,2.2,1564 468▼,2280 1184▼
14,봉고 3 EV,643,1.3,998 355▼,0 643▲
15,EV9,375,0.7,833 458▼,0 375▲
16,모하비,313,0.6,293 20▲,698 385▼
17,니로 EV,248,0.5,236 12▲,0 248▲
18,K9,236,0.5,226 10▲,620 384▼
19,버스 (기아),129,0.3,91 38▲,64 65▲
20,니로 플러스,120,0.2,218 98▼,260 140▼
