순위,모델명,판매량,점유율,전월대비,전년대비
1,카니발,6904,17.8,7323 419▼,4114 2790▲
2,스포티지,5492,14.2,6196 704▼,4455 1037▲
3,쏘렌토,4611,11.9,7393 2782▼,5066 455▼
4,봉고 3,3626,9.4,4486 860▼,4643 1017▼
5,레이,3585,9.3,4309 724▼,0 3585▲
6,K8,3451,8.9,5072 1621▼,2566 885▲
7,셀토스,3366,8.7,4493 1127▼,0 3366▲
8,K5,2560,6.6,2567 7▼,3342 782▼
9,모닝,1813,4.7,2152 339▼,1534 279▲
10,니로,1268,3.3,1684 416▼,1213 55▲
11,K3,950,2.5,2229 1279▼,1792 842▼
12,모하비,482,1.2,542 60▼,406 76▲
13,K9,431,1.1,604 173▼,487 56▼
14,스팅어,113,0.3,108 5▲,166 53▼
15,버스 (기아),71,0.2,64 7▲,62 9▲
16,봉고 3 EV,29,0.1,0 29▲,0 29▲
17,니로 EV,1,0.0,0 1▲,0 1▲
