순위,모델명,판매량,점유율,전월대비,전년대비
1,쏘렌토,6890,13.0,4745 2145▲,5435 1455▲
2,카니발,6873,12.9,6039 834▲,4065 2808▲
3,스포티지,6018,11.3,5689 329▲,4919 1099▲
4,봉고 3,4902,9.2,4041 861▲,4649 253▲
5,K8,4569,8.6,4168 401▲,2722 1847▲
6,레이,4155,7.8,4268 113▼,0 4155▲
7,셀토스,3891,7.3,5552 1661▼,0 3891▲
8,K5,3421,6.4,2653 768▲,2642 779▲
9,EV6,3009,5.7,1951 1058▲,2689 320▲
10,모닝,2127,4.0,2049 78▲,3559 1432▼
11,봉고 3 EV,2016,3.8,5025 3009▼,0 2016▲
12,니로,1482,2.8,1170 312▲,2094 612▼
13,K3,1197,2.3,1024 173▲,2020 823▼
14,니로 EV,737,1.4,418 319▲,0 737▲
15,모하비,710,1.3,504 206▲,852 142▼
16,니로 플러스,460,0.9,292 168▲,0 460▲
17,K9,432,0.8,301 131▲,1001 569▼
18,스팅어,143,0.3,120 23▲,218 75▼
19,버스 (기아),126,0.2,96 30▲,50 76▲
