순위,모델명,판매량,점유율,전월대비,전년대비
1,쏘렌토,7176,17.0,5678 1498▲,5674 1502▲
2,스포티지,5210,12.3,6625 1415▼,3873 1337▲
3,카니발,4937,11.7,6109 1172▼,4535 402▲
4,레이,4402,10.4,4285 117▲,0 4402▲
5,셀토스,3512,8.3,4770 1258▼,3610 98▼
6,봉고 3,3391,8.0,4171 780▼,5553 2162▼
7,모닝,2910,6.9,2033 877▲,0 2910▲
8,K5,2613,6.2,2246 367▲,2155 458▲
9,K8,2457,5.8,3513 1056▼,4257 1800▼
10,니로,1302,3.1,1370 68▼,1489 187▼
11,K3,1123,2.7,976 147▲,800 323▲
12,EV6,948,2.2,1398 450▼,1672 724▼
13,봉고 3 EV,610,1.4,1577 967▼,0 610▲
14,EV9,408,1.0,1251 843▼,0 408▲
15,니로 EV,392,0.9,244 148▲,0 392▲
16,모하비,379,0.9,459 80▼,1114 735▼
17,K9,347,0.8,372 25▼,602 255▼
18,니로 플러스,115,0.3,303 188▼,832 717▼
19,버스 (기아),102,0.2,127 25▼,92 10▲
