순위,모델명,판매량,점유율,전월대비,전년대비
1,카니발,6695,13.3,6481 214▲,5485 1210▲
2,쏘렌토,6499,12.9,6835 336▼,5356 1143▲
3,스포티지,6185,12.3,6282 97▼,4542 1643▲
4,셀토스,4792,9.5,4119 673▲,0 4792▲
5,레이,4576,9.1,4158 418▲,0 4576▲
6,K8,4487,8.9,4011 476▲,3636 851▲
7,봉고 3,4194,8.3,4349 155▼,5741 1547▼
8,K5,3166,6.3,2739 427▲,2618 548▲
9,모닝,2502,5.0,2164 338▲,2258 244▲
10,EV6,1894,3.8,2694 800▼,2864 970▼
11,니로,1468,2.9,1391 77▲,2686 1218▼
12,봉고 3 EV,1164,2.3,1137 27▲,0 1164▲
13,K3,975,1.9,670 305▲,1726 751▼
14,니로 EV,522,1.0,729 207▼,0 522▲
15,니로 플러스,462,0.9,475 13▼,204 258▲
16,모하비,318,0.6,483 165▼,1208 890▼
17,K9,310,0.6,422 112▼,419 109▼
18,버스 (기아),110,0.2,114 4▼,63 47▲
19,스팅어,45,0.1,61 16▼,206 161▼
