순위,모델명,판매량,점유율,전월대비,전년대비
1,쏘렌토,7734,17.1,8796 1062▼,7487 247▲
2,카니발,6651,14.7,7592 941▼,7211 560▼
3,스포티지,5295,11.7,6703 1408▼,0 5295▲
4,셀토스,4257,9.4,5101 844▼,6120 1863▼
5,레이,3194,7.1,3634 440▼,0 3194▲
6,K5,3028,6.7,3581 553▼,2406 622▲
7,K8,2627,5.8,2566 61▲,0 2627▲
8,봉고 3,2491,5.5,3043 552▼,3588 1097▼
9,EV3,1866,4.1,3057 1191▼,0 1866▲
10,모닝,1527,3.4,1028 499▲,907 620▲
11,EV4,1373,3.0,831 542▲,0 1373▲
12,타스만,1348,3.0,1248 100▲,0 1348▲
13,니로,1283,2.8,1644 361▼,1596 313▼
14,EV6,957,2.1,789 168▲,0 957▲
15,레이 EV,806,1.8,628 178▲,0 806▲
16,봉고 3 EV,260,0.6,340 80▼,462 202▼
17,EV9,178,0.4,150 28▲,182 4▼
18,버스 (기아),114,0.3,135 21▼,118 4▼
19,K9,109,0.2,147 38▼,282 173▼
20,니로 EV,27,0.1,72 45▼,113 86▼
