순위,모델명,판매량,점유율,전월대비,전년대비
1,쏘렌토,8978,18.2,6531 2447▲,6628 2350▲
2,카니발,6758,13.7,6031 727▲,4900 1858▲
3,스포티지,6416,13.0,5755 661▲,0 6416▲
4,셀토스,4965,10.1,4238 727▲,4433 532▲
5,K5,3127,6.4,3238 111▼,2277 850▲
6,레이,2962,6.0,2463 499▲,0 2962▲
7,봉고 3,2928,6.0,2698 230▲,2272 656▲
8,K8,2159,4.4,1976 183▲,4724 2565▼
9,EV3,1927,3.9,2317 390▼,2022 95▼
10,모닝,1805,3.7,2080 275▼,968 837▲
11,EV6,1322,2.7,1080 242▲,324 998▲
12,EV4,1151,2.3,1124 27▲,0 1151▲
13,레이 EV,1041,2.1,1021 20▲,0 1041▲
14,니로,1025,2.1,1037 12▼,866 159▲
15,타스만,777,1.6,887 110▼,0 777▲
16,PV5,672,1.4,161 511▲,0 672▲
17,봉고 3 EV,500,1.0,644 144▼,443 57▲
18,EV5,272,0.6,0 272▲,0 272▲
19,EV9,147,0.3,112 35▲,122 25▲
20,버스 (기아),137,0.3,114 23▲,94 43▲
21,K9,109,0.2,143 34▼,163 54▼
22,니로 EV,23,0.0,25 2▼,4 19▲
