순위,모델명,판매량,점유율,전월대비,전년대비
1,쏘렌토,8671,19.7,9284 613▼,0 8671▲
2,카니발,7989,18.1,7049 940▲,0 7989▲
3,스포티지,6991,15.9,5934 1057▲,5689 1302▲
4,셀토스,3967,9.0,3944 23▲,5552 1585▼
5,레이,3160,7.2,4020 860▼,4268 1108▼
6,K5,2970,6.7,3336 366▼,0 2970▲
7,봉고 3,2957,6.7,3130 173▼,4041 1084▼
8,K8,2165,4.9,2917 752▼,4168 2003▼
9,K3,1315,3.0,1419 104▼,1024 291▲
10,모닝,1140,2.6,1214 74▼,0 1140▲
11,니로,938,2.1,1220 282▼,1170 232▼
12,레이 EV,812,1.8,110 702▲,0 812▲
13,모하비,241,0.5,291 50▼,504 263▼
14,K9,191,0.4,175 16▲,301 110▼
15,봉고 3 EV,180,0.4,19 161▲,5025 4845▼
16,EV6,155,0.4,29 126▲,1951 1796▼
17,EV9,124,0.3,449 325▼,0 124▲
18,버스 (기아),100,0.2,122 22▼,96 4▲
19,니로 EV,2,0.0,19 17▼,418 416▼
