순위,모델명,판매량,점유율,전월대비,전년대비
1,스포티지,6625,13.9,6418 207▲,3406 3219▲
2,카니발,6109,12.9,6358 249▼,4901 1208▲
3,쏘렌토,5678,12.0,6978 1300▼,6940 1262▼
4,셀토스,4770,10.0,5224 454▼,4120 650▲
5,레이,4285,9.0,4372 87▼,0 4285▲
6,봉고 3,4171,8.8,3545 626▲,6642 2471▼
7,K8,3513,7.4,4469 956▼,4807 1294▼
8,K5,2246,4.7,2963 717▼,2859 613▼
9,모닝,2033,4.3,0 2033▲,0 2033▲
10,봉고 3 EV,1577,3.3,1026 551▲,0 1577▲
11,EV6,1398,2.9,1379 19▲,3049 1651▼
12,니로,1370,2.9,1534 164▼,1955 585▼
13,EV9,1251,2.6,1334 83▼,0 1251▲
14,K3,976,2.1,1540 564▼,2468 1492▼
15,모하비,459,1.0,510 51▼,1125 666▼
16,K9,372,0.8,366 6▲,567 195▼
17,니로 플러스,303,0.6,298 5▲,923 620▼
18,니로 EV,244,0.5,458 214▼,0 244▲
19,버스 (기아),127,0.3,120 7▲,78 49▲
