순위,모델명,판매량,점유율,전월대비,전년대비
1,쏘렌토,8828,19.1,10434 1606▼,8068 760▲
2,스포티지,8418,18.2,4100 4318▲,0 8418▲
3,카니발,7235,15.6,7516 281▼,5305 1930▲
4,셀토스,5512,11.9,4887 625▲,3758 1754▲
5,레이,4046,8.7,4417 371▼,0 4046▲
6,모닝,2608,5.6,1467 1141▲,1808 800▲
7,봉고 3,2505,5.4,2335 170▲,3958 1453▼
8,K8,2354,5.1,4336 1982▼,0 2354▲
9,K5,2105,4.5,2645 540▼,3563 1458▼
10,니로,1174,2.5,1034 140▲,1172 2▲
11,EV3,461,1.0,2284 1823▼,0 461▲
12,봉고 3 EV,255,0.6,925 670▼,221 34▲
13,K9,240,0.5,99 141▲,223 17▲
14,레이 EV,173,0.4,336 163▼,0 173▲
15,EV6,155,0.3,770 615▼,0 155▲
16,버스 (기아),132,0.3,123 9▲,106 26▲
17,EV9,109,0.2,144 35▼,2688 2579▼
18,니로 EV,11,0.0,128 117▼,84 73▼
19,스포티지,10,0.0,133 123▼,5739 5729▼
20,니로 플러스,1,0.0,1 0▼,70 69▼
