순위,모델명,판매량,점유율,전월대비,전년대비
1,쏘렌토,9284,20.8,8068 1216▲,0 9284▲
2,카니발,7049,15.8,5305 1744▲,0 7049▲
3,스포티지,5934,13.3,5739 195▲,5492 442▲
4,레이,4020,9.0,3269 751▲,3585 435▲
5,셀토스,3944,8.8,3758 186▲,3366 578▲
6,K5,3336,7.5,3563 227▼,0 3336▲
7,봉고 3,3130,7.0,3958 828▼,3626 496▼
8,K8,2917,6.5,1859 1058▲,3451 534▼
9,K3,1419,3.2,1346 73▲,950 469▲
10,니로,1220,2.7,1172 48▲,1268 48▼
11,모닝,1214,2.7,1808 594▼,0 1214▲
12,EV9,449,1.0,2688 2239▼,0 449▲
13,모하비,291,0.7,252 39▲,482 191▼
14,K9,175,0.4,223 48▼,431 256▼
15,버스 (기아),122,0.3,106 16▲,71 51▲
16,레이 EV,110,0.2,985 875▼,0 110▲
17,EV6,29,0.1,693 664▼,0 29▲
18,니로 EV,19,0.0,84 65▼,1 18▲
19,봉고 3 EV,19,0.0,221 202▼,29 10▼
20,니로 플러스,2,0.0,70 68▼,0 2▲
