순위,모델명,판매량,점유율,전월대비,전년대비
1,쏘렌토,8796,17.2,10155 1359▼,7865 931▲
2,카니발,7592,14.9,7710 118▼,6879 713▲
3,스포티지,6703,13.1,6617 86▲,0 6703▲
4,셀토스,5101,10.0,5351 250▼,5025 76▲
5,레이,3634,7.1,3375 259▲,0 3634▲
6,K5,3581,7.0,2863 718▲,3168 413▲
7,EV3,3057,6.0,3032 25▲,0 3057▲
8,봉고 3,3043,6.0,2922 121▲,3980 937▼
9,K8,2566,5.0,2704 138▼,0 2566▲
10,니로,1644,3.2,1147 497▲,1597 47▲
11,타스만,1248,2.4,96 1152▲,0 1248▲
12,모닝,1028,2.0,579 449▲,1421 393▼
13,EV4,831,1.6,0 831▲,0 831▲
14,EV6,789,1.5,1163 374▼,0 789▲
15,레이 EV,628,1.2,1209 581▼,0 628▲
16,봉고 3 EV,340,0.7,596 256▼,550 210▼
17,EV9,150,0.3,202 52▼,174 24▼
18,K9,147,0.3,226 79▼,253 106▼
19,버스 (기아),135,0.3,129 6▲,122 13▲
20,니로 EV,72,0.1,29 43▲,218 146▼
