순위,모델명,판매량,점유율,전월대비,전년대비
1,쏘렌토,6531,15.0,7053 522▼,3502 3029▲
2,카니발,6031,13.8,7211 1180▼,5534 497▲
3,스포티지,5755,13.2,5424 331▲,0 5755▲
4,셀토스,4238,9.7,4921 683▼,5551 1313▼
5,K5,3238,7.4,2868 370▲,2690 548▲
6,봉고 3,2698,6.2,2952 254▼,2782 84▼
7,레이,2463,5.6,2327 136▲,0 2463▲
8,EV3,2317,5.3,2199 118▲,4002 1685▼
9,모닝,2080,4.8,838 1242▲,910 1170▲
10,K8,1976,4.5,2090 114▼,2711 735▼
11,EV4,1124,2.6,1485 361▼,0 1124▲
12,EV6,1080,2.5,936 144▲,599 481▲
13,니로,1037,2.4,1027 10▲,1048 11▼
14,레이 EV,1021,2.3,1442 421▼,0 1021▲
15,타스만,887,2.0,1271 384▼,0 887▲
16,봉고 3 EV,644,1.5,684 40▼,382 262▲
17,PV5,161,0.4,0 161▲,0 161▲
18,K9,143,0.3,113 30▲,177 34▼
19,버스 (기아),114,0.3,111 3▲,110 4▲
20,EV9,112,0.3,173 61▼,92 20▲
21,니로 EV,25,0.1,8 17▲,61 36▼
