순위,모델명,판매량,점유율,전월대비,전년대비
1,카니발,8097,18.3,7211 886▲,0 8097▲
2,쏘렌토,7307,16.5,7487 180▼,0 7307▲
3,스포티지,5815,13.1,6644 829▼,6418 603▼
4,셀토스,5399,12.2,6120 721▼,5224 175▲
5,봉고 3,3365,7.6,3588 223▼,3545 180▼
6,K5,2932,6.6,2406 526▲,0 2932▲
7,레이,2285,5.2,3178 893▼,4372 2087▼
8,K8,1519,3.4,1873 354▼,4469 2950▼
9,EV6,1430,3.2,1380 50▲,1379 51▲
10,K3,1341,3.0,995 346▲,1540 199▼
11,레이 EV,1289,2.9,1278 11▲,0 1289▲
12,니로,1210,2.7,1596 386▼,1534 324▼
13,모닝,985,2.2,907 78▲,0 985▲
14,봉고 3 EV,439,1.0,462 23▼,1026 587▼
15,모하비,288,0.7,224 64▲,510 222▼
16,K9,160,0.4,282 122▼,366 206▼
17,니로 EV,123,0.3,113 10▲,458 335▼
18,버스 (기아),122,0.3,118 4▲,120 2▲
19,EV9,113,0.3,182 69▼,1334 1221▼
20,니로 플러스,65,0.1,67 2▼,298 233▼
