순위,모델명,판매량,점유율,전월대비,전년대비
1,쏘렌토,10155,20.3,9067 1088▲,8974 1181▲
2,카니발,7710,15.4,7734 24▼,7643 67▲
3,스포티지,6617,13.2,6568 49▲,0 6617▲
4,셀토스,5351,10.7,4764 587▲,4748 603▲
5,레이,3375,6.7,3774 399▼,0 3375▲
6,EV3,3032,6.1,2257 775▲,0 3032▲
7,봉고 3,2922,5.8,2755 167▲,3510 588▼
8,K5,2863,5.7,2503 360▲,3577 714▼
9,K8,2704,5.4,2457 247▲,0 2704▲
10,레이 EV,1209,2.4,513 696▲,0 1209▲
11,EV6,1163,2.3,1100 63▲,0 1163▲
12,니로,1147,2.3,800 347▲,917 230▲
13,봉고 3 EV,596,1.2,569 27▲,1180 584▼
14,모닝,579,1.2,765 186▼,1416 837▼
15,K9,226,0.5,164 62▲,140 86▲
16,EV9,202,0.4,88 114▲,183 19▲
17,버스 (기아),129,0.3,115 14▲,127 2▲
18,타스만,96,0.2,0 96▲,0 96▲
19,니로 EV,29,0.1,53 24▼,134 105▼
