순위,모델명,판매량,점유율,전월대비,전년대비
1,그랜저,8410,16.3,7980 430▲,8640 230▼
2,싼타페,7627,14.8,8657 1030▼,0 7627▲
3,포터2,5658,11.0,7849 2191▼,9242 3584▼
4,아반떼,4990,9.7,5713 723▼,0 4990▲
5,쏘나타 디 엣지,4855,9.4,4574 281▲,0 4855▲
6,캐스퍼,4021,7.8,5701 1680▼,3509 512▲
7,투싼,3588,7.0,0 3588▲,0 3588▲
8,스타리아,3536,6.9,3342 194▲,3189 347▲
9,팰리세이드,2066,4.0,3157 1091▼,4344 2278▼
10,코나,1900,3.7,2777 877▼,0 1900▲
11,버스/트럭 (현대),1209,2.3,1418 209▼,1219 10▼
12,아이오닉 5,763,1.5,1669 906▼,711 52▲
13,베뉴,526,1.0,776 250▼,1019 493▼
14,마이티,524,1.0,679 155▼,769 245▼
15,포터2 일렉트릭,395,0.8,1406 1011▼,0 395▲
16,쏘나타 뉴 라이즈,310,0.6,321 11▼,1463 1153▼
17,카운티,257,0.5,241 16▲,143 114▲
18,코나 일렉트릭,212,0.4,432 220▼,0 212▲
19,아이오닉 6,183,0.4,618 435▼,1057 874▼
20,아반떼 N,152,0.3,115 37▲,0 152▲
21,쏠라티,121,0.2,119 2▲,58 63▲
22,넥쏘,79,0.2,232 153▼,446 367▼
23,싼타페,55,0.1,123 68▼,3811 3756▼
24,아이오닉 5 N,28,0.1,54 26▼,0 28▲
25,카운티 일렉트릭,9,0.0,11 2▼,0 9▲
