순위,모델명,판매량,점유율,전월대비,전년대비
1,그랜저,8531,18.1,11528 2997▼,0 8531▲
2,포터2,5410,11.5,5745 335▼,8986 3576▼
3,아반떼,4000,8.5,5298 1298▼,0 4000▲
4,캐스퍼,3706,7.9,3900 194▼,4478 772▼
5,팰리세이드,3264,6.9,3164 100▲,3113 151▲
6,포터2 일렉트릭,3260,6.9,2505 755▲,0 3260▲
7,스타리아,3242,6.9,3501 259▼,2998 244▲
8,투싼,3190,6.8,4441 1251▼,1548 1642▲
9,코나,2400,5.1,2470 70▼,0 2400▲
10,쏘나타 디 엣지,2142,4.6,2951 809▼,0 2142▲
11,싼타페,2075,4.4,3353 1278▼,1361 714▲
12,아이오닉 5,1350,2.9,1297 53▲,3102 1752▼
13,버스/트럭 (현대),1275,2.7,1574 299▼,1609 334▼
14,쏘나타 뉴 라이즈,673,1.4,1162 489▼,1511 838▼
15,마이티,611,1.3,681 70▼,726 115▼
16,베뉴,546,1.2,952 406▼,548 2▼
17,아이오닉 6,488,1.0,491 3▼,0 488▲
18,넥쏘,371,0.8,305 66▲,573 202▼
19,코나 일렉트릭,238,0.5,664 426▼,0 238▲
20,카운티,145,0.3,190 45▼,134 11▲
21,쏠라티,114,0.2,98 16▲,66 48▲
22,카운티 일렉트릭,9,0.0,7 2▲,0 9▲
23,코나,6,0.0,28 22▼,630 624▼
24,아반떼 N,2,0.0,0 2▲,0 2▲
