순위,모델명,판매량,점유율,전월대비,전년대비
1,그랜저,5711,15.3,7212 1501▼,3635 2076▲
2,아반떼,5319,14.3,6383 1064▼,4392 927▲
3,싼타페,4819,12.9,6249 1430▼,8014 3195▼
4,투싼,3636,9.8,6605 2969▼,5152 1516▼
5,쏘나타 디 엣지,3620,9.7,6687 3067▼,496 3124▲
6,포터2,3329,8.9,5111 1782▼,4923 1594▼
7,스타리아,2484,6.7,3349 865▼,2996 512▼
8,코나,2098,5.6,2548 450▼,1972 126▲
9,팰리세이드,1287,3.5,2142 855▼,1741 454▼
10,디 올 뉴 팰리세이드,1234,3.3,0 1234▲,0 1234▲
11,버스/트럭 (현대),954,2.6,1191 237▼,1075 121▼
12,캐스퍼,740,2.0,1197 457▼,0 740▲
13,베뉴,694,1.9,415 279▲,323 371▲
14,마이티,531,1.4,457 74▲,477 54▲
15,캐스퍼 일렉트릭,186,0.5,440 254▼,0 186▲
16,카운티,149,0.4,190 41▼,47 102▲
17,아반떼 N,144,0.4,79 65▲,46 98▲
18,쏠라티,113,0.3,156 43▼,106 7▲
19,아이오닉 5,48,0.1,563 515▼,0 48▲
20,코나 일렉트릭,43,0.1,58 15▼,4 39▲
21,아이오닉 5 N,27,0.1,48 21▼,5 22▲
22,넥쏘,24,0.1,48 24▼,2 22▲
23,카운티 일렉트릭,15,0.0,28 13▼,5 10▲
24,아이오닉 6,12,0.0,181 169▼,4 8▲
25,ST1,7,0.0,49 42▼,0 7▲
26,포터2 일렉트릭,6,0.0,327 321▼,4 2▲
