순위,모델명,판매량,점유율,전월대비,전년대비
1,디 올 뉴 팰리세이드,6238,13.0,5471 767▲,0 6238▲
2,아반떼,5986,12.5,7334 1348▼,3873 2113▲
3,그랜저,4408,9.2,5579 1171▼,6287 1879▼
4,싼타페,4252,8.9,5443 1191▼,5248 996▼
5,투싼,4011,8.4,4453 442▼,3124 887▲
6,스타리아,3632,7.6,3800 168▼,3575 57▲
7,포터2,3368,7.0,3692 324▼,4145 777▼
8,쏘나타 디 엣지,3314,6.9,4216 902▼,5532 2218▼
9,코나,2227,4.6,2636 409▼,1906 321▲
10,아이오닉 5,1474,3.1,1464 10▲,1615 141▼
11,버스/트럭 (현대),1378,2.9,1538 160▼,1375 3▲
12,베뉴,1272,2.7,1086 186▲,365 907▲
13,아이오닉 9,1137,2.4,767 370▲,0 1137▲
14,디 올 뉴 넥쏘,1001,2.1,50 951▲,0 1001▲
15,포터2 일렉트릭,928,1.9,660 268▲,1032 104▼
16,캐스퍼 일렉트릭,648,1.4,620 28▲,0 648▲
17,아이오닉 6,616,1.3,674 58▼,275 341▲
18,캐스퍼,597,1.2,585 12▲,0 597▲
19,마이티,546,1.1,595 49▼,690 144▼
20,코나 일렉트릭,365,0.8,322 43▲,508 143▼
21,아반떼 N,159,0.3,151 8▲,102 57▲
22,카운티,150,0.3,175 25▼,95 55▲
23,ST1,127,0.3,77 50▲,194 67▼
24,쏠라티,115,0.2,169 54▼,130 15▼
25,아이오닉 5 N,36,0.1,25 11▲,149 113▼
26,카운티 일렉트릭,15,0.0,28 13▼,15 0▼
