순위,모델명,판매량,점유율,전월대비,전년대비
1,아반떼,6991,12.5,6750 241▲,5698 1293▲
2,디 올 뉴 팰리세이드,6661,11.9,4620 2041▲,0 6661▲
3,싼타페,6354,11.4,5593 761▲,5847 507▲
4,그랜저,6080,10.9,6211 131▼,7085 1005▼
5,투싼,5223,9.4,4536 687▲,4262 961▲
6,쏘나타 디 엣지,4702,8.4,4588 114▲,4695 7▲
7,포터2,4291,7.7,4667 376▼,5748 1457▼
8,스타리아,3727,6.7,3717 10▲,4844 1117▼
9,코나,2424,4.3,2423 1▲,2528 104▼
10,아이오닉 5,1422,2.5,1090 332▲,1549 127▼
11,버스/트럭 (현대),1354,2.4,1525 171▼,1414 60▼
12,포터2 일렉트릭,1081,1.9,986 95▲,695 386▲
13,아이오닉 9,1009,1.8,784 225▲,0 1009▲
14,캐스퍼 일렉트릭,783,1.4,1185 402▼,0 783▲
15,베뉴,760,1.4,583 177▲,295 465▲
16,캐스퍼,672,1.2,840 168▼,0 672▲
17,마이티,614,1.1,527 87▲,646 32▼
18,아이오닉 6,610,1.1,558 52▲,421 189▲
19,코나 일렉트릭,298,0.5,446 148▼,208 90▲
20,쏠라티,199,0.4,176 23▲,131 68▲
21,카운티,188,0.3,152 36▲,142 46▲
22,ST1,115,0.2,109 6▲,0 115▲
23,아반떼 N,108,0.2,79 29▲,108 0▼
24,넥쏘,85,0.2,296 211▼,252 167▼
25,아이오닉 5 N,36,0.1,39 3▼,35 1▲
26,카운티 일렉트릭,17,0.0,20 3▼,8 9▲
27,팰리세이드,1,0.0,0 1▲,1789 1788▼
