순위,모델명,판매량,점유율,전월대비,전년대비
1,싼타페,7884,15.6,7413 471▲,0 7884▲
2,그랜저,6100,12.0,3963 2137▲,10916 4816▼
3,포터2,5257,10.4,6093 836▼,7422 2165▼
4,아반떼,4113,8.1,2230 1883▲,6536 2423▼
5,쏘나타 디 엣지,4074,8.0,1397 2677▲,0 4074▲
6,투싼,3524,7.0,3070 454▲,0 3524▲
7,캐스퍼,3442,6.8,3118 324▲,3248 194▲
8,스타리아,3123,6.2,2878 245▲,3980 857▼
9,포터2 일렉트릭,2775,5.5,262 2513▲,2860 85▼
10,코나,2395,4.7,1397 998▲,4747 2352▼
11,팰리세이드,1974,3.9,2365 391▼,4820 2846▼
12,아이오닉 5,1810,3.6,221 1589▲,1701 109▲
13,버스/트럭 (현대),1282,2.5,1024 258▲,1694 412▼
14,아이오닉 6,936,1.8,98 838▲,2200 1264▼
15,마이티,623,1.2,529 94▲,585 38▲
16,코나 일렉트릭,352,0.7,58 294▲,0 352▲
17,베뉴,283,0.6,323 40▼,526 243▼
18,넥쏘,268,0.5,331 63▼,694 426▼
19,쏠라티,161,0.3,87 74▲,124 37▲
20,카운티,154,0.3,116 38▲,165 11▼
21,아반떼 N,75,0.1,62 13▲,0 75▲
22,아이오닉 5 N,47,0.1,3 44▲,0 47▲
23,카운티 일렉트릭,9,0.0,7 2▲,11 2▼
24,쏘나타 뉴 라이즈,4,0.0,26 22▼,1230 1226▼
