순위,모델명,판매량,점유율,전월대비,전년대비
1,그랜저,6120,13.5,6187 67▼,8159 2039▼
2,싼타페,5314,11.8,5715 401▼,4329 985▲
3,쏘나타 디 엣지,4890,10.8,6317 1427▼,2540 2350▲
4,투싼,4553,10.1,3965 588▲,0 4553▲
5,아반떼,3686,8.2,3885 199▼,4146 460▼
6,포터2,3517,7.8,3962 445▼,4441 924▼
7,스타리아,3194,7.1,2951 243▲,2633 561▲
8,캐스퍼 일렉트릭,2075,4.6,1439 636▲,0 2075▲
9,코나,2029,4.5,1872 157▲,2293 264▼
10,캐스퍼,1927,4.3,3592 1665▼,3705 1778▼
11,팰리세이드,1704,3.8,1529 175▲,2935 1231▼
12,버스/트럭 (현대),1358,3.0,1523 165▼,1166 192▲
13,아이오닉 5,1084,2.4,1127 43▼,0 1084▲
14,포터2 일렉트릭,940,2.1,1208 268▼,1340 400▼
15,코나 일렉트릭,632,1.4,263 369▲,208 424▲
16,마이티,560,1.2,607 47▼,614 54▼
17,베뉴,411,0.9,299 112▲,771 360▼
18,아이오닉 6,368,0.8,405 37▼,344 24▲
19,넥쏘,268,0.6,347 79▼,237 31▲
20,쏠라티,163,0.4,125 38▲,102 61▲
21,카운티,115,0.3,101 14▲,158 43▼
22,ST1,102,0.2,183 81▼,0 102▲
23,아이오닉 5 N,88,0.2,95 7▼,93 5▼
24,아반떼 N,61,0.1,54 7▲,221 160▼
25,카운티 일렉트릭,8,0.0,13 5▼,7 1▲
