순위,모델명,판매량,점유율,전월대비,전년대비
1,그랜저,8192,14.4,8159 33▲,0 8192▲
2,싼타페,7946,14.0,4329 3617▲,0 7946▲
3,포터2,6171,10.9,4441 1730▲,9020 2849▼
4,아반떼,4886,8.6,4146 740▲,0 4886▲
5,쏘나타 디 엣지,4546,8.0,2540 2006▲,0 4546▲
6,캐스퍼,3648,6.4,3705 57▼,3908 260▼
7,투싼,3432,6.0,3126 306▲,1729 1703▲
8,스타리아,3265,5.8,2633 632▲,3461 196▼
9,팰리세이드,2825,5.0,2935 110▼,4147 1322▼
10,코나,2597,4.6,2293 304▲,0 2597▲
11,포터2 일렉트릭,2407,4.2,1340 1067▲,0 2407▲
12,버스/트럭 (현대),1379,2.4,1166 213▲,1735 356▼
13,아이오닉 5,1376,2.4,612 764▲,2169 793▼
14,베뉴,1182,2.1,771 411▲,702 480▲
15,마이티,705,1.2,614 91▲,806 101▼
16,아이오닉 6,472,0.8,344 128▲,3667 3195▼
17,싼타페,385,0.7,810 425▼,2722 2337▼
18,코나 일렉트릭,337,0.6,208 129▲,0 337▲
19,쏘나타 뉴 라이즈,303,0.5,407 104▼,1829 1526▼
20,넥쏘,189,0.3,237 48▼,1101 912▼
21,카운티,163,0.3,158 5▲,143 20▲
22,아반떼 N,131,0.2,221 90▼,0 131▲
23,아이오닉 5 N,95,0.2,93 2▲,0 95▲
24,쏠라티,84,0.1,102 18▼,42 42▲
25,카운티 일렉트릭,16,0.0,7 9▲,0 16▲
