순위,모델명,판매량,점유율,전월대비,전년대비
1,쏘나타 디 엣지,6317,13.2,5532 785▲,2600 3717▲
2,그랜저,6187,13.0,6287 100▼,8820 2633▼
3,싼타페,5715,12.0,5248 467▲,550 5165▲
4,투싼,3965,8.3,3124 841▲,0 3965▲
5,포터2,3962,8.3,4145 183▼,4616 654▼
6,아반떼,3885,8.1,3873 12▲,4595 710▼
7,캐스퍼,3592,7.5,3425 167▲,3804 212▼
8,스타리아,2951,6.2,3575 624▼,2940 11▲
9,코나,1872,3.9,1906 34▼,2340 468▼
10,팰리세이드,1529,3.2,1316 213▲,3752 2223▼
11,버스/트럭 (현대),1523,3.2,1375 148▲,1276 247▲
12,캐스퍼 일렉트릭,1439,3.0,0 1439▲,0 1439▲
13,포터2 일렉트릭,1208,2.5,1032 176▲,1371 163▼
14,아이오닉 5,1127,2.4,1615 488▼,0 1127▲
15,마이티,607,1.3,690 83▼,654 47▼
16,아이오닉 6,405,0.8,275 130▲,400 5▲
17,넥쏘,347,0.7,330 17▲,293 54▲
18,베뉴,299,0.6,365 66▼,904 605▼
19,코나 일렉트릭,263,0.6,508 245▼,355 92▼
20,ST1,183,0.4,194 11▼,0 183▲
21,쏠라티,125,0.3,130 5▼,118 7▲
22,카운티,101,0.2,95 6▲,144 43▼
23,아이오닉 5 N,95,0.2,149 54▼,0 95▲
24,아반떼 N,54,0.1,102 48▼,163 109▼
25,카운티 일렉트릭,13,0.0,15 2▼,17 4▼
