순위,모델명,판매량,점유율,전월대비,전년대비
1,그랜저,6884,13.2,7085 201▼,11581 4697▼
2,포터2,6193,11.9,5748 445▲,5576 617▲
3,쏘나타 디 엣지,5820,11.2,4695 1125▲,1729 4091▲
4,아반떼,5658,10.9,5698 40▼,6556 898▼
5,싼타페,5605,10.8,5847 242▼,0 5605▲
6,투싼,4838,9.3,4262 576▲,0 4838▲
7,캐스퍼,3861,7.4,3549 312▲,4064 203▼
8,스타리아,2744,5.3,4844 2100▼,3567 823▼
9,코나,2520,4.8,2528 8▼,2448 72▲
10,아이오닉 5,1559,3.0,1549 10▲,0 1559▲
11,버스/트럭 (현대),1503,2.9,1414 89▲,1524 21▼
12,팰리세이드,1335,2.6,1789 454▼,3553 2218▼
13,포터2 일렉트릭,796,1.5,695 101▲,2485 1689▼
14,마이티,681,1.3,646 35▲,686 5▼
15,베뉴,603,1.2,295 308▲,511 92▲
16,아이오닉 6,377,0.7,421 44▼,1117 740▼
17,넥쏘,316,0.6,252 64▲,410 94▼
18,코나 일렉트릭,253,0.5,208 45▲,64 189▲
19,카운티,170,0.3,142 28▲,156 14▲
20,쏠라티,146,0.3,131 15▲,71 75▲
21,아반떼 N,135,0.3,108 27▲,0 135▲
22,아이오닉 5 N,31,0.1,35 4▼,0 31▲
23,ST1,24,0.0,0 24▲,0 24▲
24,카운티 일렉트릭,12,0.0,8 4▲,6 6▲
