순위,모델명,판매량,점유율,전월대비,전년대비
1,싼타페,8657,14.2,7946 711▲,0 8657▲
2,그랜저,7980,13.0,8192 212▼,1023 6957▲
3,포터2,7849,12.8,6171 1678▲,7020 829▲
4,아반떼,5713,9.3,4886 827▲,0 5713▲
5,캐스퍼,5701,9.3,3648 2053▲,5573 128▲
6,쏘나타 디 엣지,4574,7.5,4546 28▲,0 4574▲
7,스타리아,3342,5.5,3265 77▲,3325 17▲
8,투싼,3205,5.2,3432 227▼,2312 893▲
9,팰리세이드,3157,5.2,2825 332▲,4366 1209▼
10,코나,2777,4.5,2597 180▲,0 2777▲
11,아이오닉 5,1669,2.7,1376 293▲,1920 251▼
12,버스/트럭 (현대),1418,2.3,1379 39▲,1687 269▼
13,포터2 일렉트릭,1406,2.3,2407 1001▼,0 1406▲
14,베뉴,776,1.3,1182 406▼,432 344▲
15,마이티,679,1.1,705 26▼,769 90▼
16,아이오닉 6,618,1.0,472 146▲,3905 3287▼
17,코나 일렉트릭,432,0.7,337 95▲,0 432▲
18,쏘나타 뉴 라이즈,321,0.5,303 18▲,1693 1372▼
19,카운티,241,0.4,163 78▲,143 98▲
20,넥쏘,232,0.4,189 43▲,1096 864▼
21,싼타페,123,0.2,385 262▼,2864 2741▼
22,쏠라티,119,0.2,84 35▲,58 61▲
23,아반떼 N,115,0.2,131 16▼,0 115▲
24,아이오닉 5 N,54,0.1,95 41▼,0 54▲
25,카운티 일렉트릭,11,0.0,16 5▼,0 11▲
