순위,모델명,판매량,점유율,전월대비,전년대비
1,그랜저,11581,20.6,9997 1584▲,0 11581▲
2,아반떼,6556,11.7,5243 1313▲,0 6556▲
3,포터2,5576,9.9,6183 607▼,8299 2723▼
4,투싼,4241,7.5,4112 129▲,3722 519▲
5,캐스퍼,4064,7.2,3420 644▲,4402 338▼
6,스타리아,3567,6.3,3407 160▲,2914 653▲
7,팰리세이드,3553,6.3,4096 543▼,4110 557▼
8,싼타페,2557,4.5,2774 217▼,2477 80▲
9,포터2 일렉트릭,2485,4.4,2885 400▼,0 2485▲
10,코나,2448,4.4,4023 1575▼,0 2448▲
11,아이오닉 5,2396,4.3,2123 273▲,3054 658▼
12,쏘나타 디 엣지,1729,3.1,0 1729▲,0 1729▲
13,버스/트럭 (현대),1524,2.7,1066 458▲,1733 209▼
14,아이오닉 6,1117,2.0,1316 199▼,0 1117▲
15,쏘나타 뉴 라이즈,901,1.6,1603 702▼,1677 776▼
16,마이티,686,1.2,523 163▲,868 182▼
17,베뉴,511,0.9,449 62▲,776 265▼
18,넥쏘,410,0.7,327 83▲,1270 860▼
19,카운티,156,0.3,150 6▲,62 94▲
20,쏠라티,71,0.1,79 8▼,149 78▼
21,코나 일렉트릭,64,0.1,0 64▲,0 64▲
22,아반떼 N,43,0.1,35 8▲,371 328▼
23,코나,10,0.0,25 15▼,740 730▼
24,카운티 일렉트릭,6,0.0,8 2▼,0 6▲
