순위,모델명,판매량,점유율,전월대비,전년대비
1,싼타페,7413,20.0,8014 601▼,0 7413▲
2,포터2,6093,16.4,4923 1170▲,6227 134▼
3,그랜저,3963,10.7,3635 328▲,9815 5852▼
4,캐스퍼,3118,8.4,3006 112▲,3164 46▼
5,투싼,3070,8.3,5152 2082▼,0 3070▲
6,스타리아,2878,7.8,2996 118▼,3416 538▼
7,팰리세이드,2365,6.4,1741 624▲,3539 1174▼
8,아반떼,2230,6.0,4392 2162▼,0 2230▲
9,쏘나타 디 엣지,1397,3.8,496 901▲,0 1397▲
10,코나,1397,3.8,1972 575▼,3127 1730▼
11,버스/트럭 (현대),1024,2.8,1075 51▼,715 309▲
12,마이티,529,1.4,477 52▲,211 318▲
13,넥쏘,331,0.9,2 329▲,884 553▼
14,베뉴,323,0.9,323 0▼,492 169▼
15,포터2 일렉트릭,262,0.7,4 258▲,4872 4610▼
16,아이오닉 5,221,0.6,34 187▲,1911 1690▼
17,카운티,116,0.3,47 69▲,174 58▼
18,아이오닉 6,98,0.3,4 94▲,1632 1534▼
19,쏠라티,87,0.2,106 19▼,124 37▼
20,아반떼 N,62,0.2,46 16▲,0 62▲
21,코나 일렉트릭,58,0.2,4 54▲,0 58▲
22,쏘나타 뉴 라이즈,26,0.1,310 284▼,1012 986▼
23,카운티 일렉트릭,7,0.0,5 2▲,3 4▲
24,아이오닉 5 N,3,0.0,5 2▼,0 3▲
