순위,모델명,판매량,점유율,전월대비,전년대비
1,싼타페,8014,20.7,7627 387▲,0 8014▲
2,투싼,5152,13.3,3588 1564▲,0 5152▲
3,포터2,4923,12.7,5658 735▼,6578 1655▼
4,아반떼,4392,11.3,4990 598▼,0 4392▲
5,그랜저,3635,9.4,8410 4775▼,9118 5483▼
6,캐스퍼,3006,7.8,4021 1015▼,3070 64▼
7,스타리아,2996,7.7,3536 540▼,2951 45▲
8,코나,1972,5.1,1900 72▲,620 1352▲
9,팰리세이드,1741,4.5,2066 325▼,3922 2181▼
10,버스/트럭 (현대),1075,2.8,1209 134▼,1107 32▼
11,쏘나타 디 엣지,496,1.3,4855 4359▼,0 496▲
12,마이티,477,1.2,524 47▼,284 193▲
13,베뉴,323,0.8,526 203▼,646 323▼
14,쏘나타 뉴 라이즈,310,0.8,310 0▼,996 686▼
15,쏠라티,106,0.3,121 15▼,68 38▲
16,카운티,47,0.1,257 210▼,90 43▼
17,아반떼 N,46,0.1,152 106▼,0 46▲
18,아이오닉 5,34,0.1,763 729▼,76 42▼
19,카운티 일렉트릭,5,0.0,9 4▼,8 3▼
20,아이오닉 5 N,5,0.0,28 23▼,0 5▲
21,아이오닉 6,4,0.0,183 179▼,23 19▼
22,포터2 일렉트릭,4,0.0,395 391▼,13 9▼
23,코나 일렉트릭,4,0.0,212 208▼,0 4▲
24,싼타페,2,0.0,55 53▼,2124 2122▼
25,넥쏘,2,0.0,79 77▼,307 305▼
