순위,모델명,판매량,점유율,전월대비,전년대비
1,그랜저,7212,13.9,5047 2165▲,8410 1198▼
2,쏘나타 디 엣지,6687,12.9,6658 29▲,4855 1832▲
3,투싼,6605,12.8,5583 1022▲,3588 3017▲
4,아반떼,6383,12.3,5283 1100▲,4990 1393▲
5,싼타페,6249,12.1,7576 1327▼,7627 1378▼
6,포터2,5111,9.9,3414 1697▲,5658 547▼
7,스타리아,3349,6.5,4094 745▼,3536 187▼
8,코나,2548,4.9,1801 747▲,1900 648▲
9,팰리세이드,2142,4.1,2282 140▼,2066 76▲
10,캐스퍼,1197,2.3,2014 817▼,0 1197▲
11,버스/트럭 (현대),1191,2.3,1478 287▼,1209 18▼
12,아이오닉 5,563,1.1,1158 595▼,0 563▲
13,마이티,457,0.9,569 112▼,524 67▼
14,캐스퍼 일렉트릭,440,0.9,1731 1291▼,0 440▲
15,베뉴,415,0.8,395 20▲,526 111▼
16,포터2 일렉트릭,327,0.6,1268 941▼,395 68▼
17,카운티,190,0.4,198 8▼,257 67▼
18,아이오닉 6,181,0.4,734 553▼,183 2▼
19,쏠라티,156,0.3,121 35▲,121 35▲
20,아반떼 N,79,0.2,169 90▼,152 73▼
21,코나 일렉트릭,58,0.1,233 175▼,212 154▼
22,ST1,49,0.1,173 124▼,0 49▲
23,넥쏘,48,0.1,111 63▼,79 31▼
24,아이오닉 5 N,48,0.1,94 46▼,28 20▲
25,카운티 일렉트릭,28,0.1,35 7▼,9 19▲
