순위,모델명,판매량,점유율,전월대비,전년대비
1,그랜저,8159,18.0,8820 661▼,0 8159▲
2,포터2,4441,9.8,4616 175▼,8503 4062▼
3,싼타페,4329,9.5,550 3779▲,0 4329▲
4,아반떼,4146,9.1,4595 449▼,0 4146▲
5,캐스퍼,3705,8.2,3804 99▼,4032 327▼
6,투싼,3126,6.9,2976 150▲,2452 674▲
7,팰리세이드,2935,6.5,3752 817▼,3464 529▼
8,스타리아,2633,5.8,2940 307▼,2814 181▼
9,쏘나타 디 엣지,2540,5.6,2600 60▼,0 2540▲
10,코나,2293,5.1,2340 47▼,0 2293▲
11,포터2 일렉트릭,1340,3.0,1371 31▼,0 1340▲
12,버스/트럭 (현대),1166,2.6,1276 110▼,1597 431▼
13,싼타페,810,1.8,2225 1415▼,2327 1517▼
14,베뉴,771,1.7,904 133▼,673 98▲
15,마이티,614,1.4,654 40▼,813 199▼
16,아이오닉 5,612,1.3,1061 449▼,2396 1784▼
17,쏘나타 뉴 라이즈,407,0.9,401 6▲,1963 1556▼
18,아이오닉 6,344,0.8,400 56▼,2652 2308▼
19,넥쏘,237,0.5,293 56▼,1083 846▼
20,아반떼 N,221,0.5,163 58▲,0 221▲
21,코나 일렉트릭,208,0.5,355 147▼,0 208▲
22,카운티,158,0.3,144 14▲,119 39▲
23,쏠라티,102,0.2,118 16▼,24 78▲
24,아이오닉 5 N,93,0.2,0 93▲,0 93▲
25,카운티 일렉트릭,7,0.0,17 10▼,0 7▲
