순위,모델명,판매량,점유율,전월대비,전년대비
1,아반떼,7504,15.3,5986 1518▲,3885 3619▲
2,디 올 뉴 팰리세이드,5232,10.7,6238 1006▼,0 5232▲
3,그랜저,5139,10.5,4408 731▲,6187 1048▼
4,포터2,4253,8.7,3368 885▲,3962 291▲
5,투싼,3873,7.9,4011 138▼,3965 92▼
6,쏘나타 디 엣지,3527,7.2,3314 213▲,6317 2790▼
7,싼타페,3303,6.7,4252 949▼,5715 2412▼
8,스타리아,3246,6.6,3632 386▼,2951 295▲
9,코나,2473,5.0,2227 246▲,1872 601▲
10,아이오닉 5,1640,3.3,1474 166▲,1127 513▲
11,버스/트럭 (현대),1316,2.7,1378 62▼,1523 207▼
12,포터2 일렉트릭,1294,2.6,928 366▲,1208 86▲
13,디 올 뉴 넥쏘,1203,2.5,1001 202▲,0 1203▲
14,아이오닉 9,926,1.9,1137 211▼,0 926▲
15,베뉴,813,1.7,1272 459▼,299 514▲
16,캐스퍼,791,1.6,597 194▲,0 791▲
17,마이티,540,1.1,546 6▼,607 67▼
18,코나 일렉트릭,540,1.1,365 175▲,263 277▲
19,캐스퍼 일렉트릭,456,0.9,648 192▼,1439 983▼
20,더 뉴 아이오닉 6,230,0.5,0 230▲,0 230▲
21,ST1,201,0.4,127 74▲,183 18▲
22,카운티,179,0.4,150 29▲,101 78▲
23,쏠라티,152,0.3,115 37▲,125 27▲
24,아반떼 N,151,0.3,159 8▼,54 97▲
25,아이오닉 5 N,22,0.0,36 14▼,95 73▼
26,카운티 일렉트릭,15,0.0,15 0▼,13 2▲
