순위,모델명,판매량,점유율,전월대비,전년대비
1,그랜저,11528,20.5,11581 53▼,0 11528▲
2,포터2,5745,10.2,5576 169▲,6980 1235▼
3,아반떼,5298,9.4,6556 1258▼,0 5298▲
4,투싼,4441,7.9,4241 200▲,2864 1577▲
5,캐스퍼,3900,6.9,4064 164▼,4401 501▼
6,스타리아,3501,6.2,3567 66▼,2432 1069▲
7,싼타페,3353,6.0,2557 796▲,2913 440▲
8,팰리세이드,3164,5.6,3553 389▼,5760 2596▼
9,쏘나타 디 엣지,2951,5.2,1729 1222▲,0 2951▲
10,포터2 일렉트릭,2505,4.4,2485 20▲,0 2505▲
11,코나,2470,4.4,2448 22▲,0 2470▲
12,버스/트럭 (현대),1574,2.8,1524 50▲,1747 173▼
13,아이오닉 5,1297,2.3,2396 1099▼,1507 210▼
14,쏘나타 뉴 라이즈,1162,2.1,901 261▲,827 335▲
15,베뉴,952,1.7,511 441▲,896 56▲
16,마이티,681,1.2,686 5▼,933 252▼
17,코나 일렉트릭,664,1.2,64 600▲,0 664▲
18,아이오닉 6,491,0.9,1117 626▼,0 491▲
19,넥쏘,305,0.5,410 105▼,907 602▼
20,카운티,190,0.3,156 34▲,161 29▲
21,쏠라티,98,0.2,71 27▲,64 34▲
22,코나,28,0.0,10 18▲,733 705▼
23,아반떼 N,20,0.0,43 23▼,167 147▼
24,카운티 일렉트릭,7,0.0,6 1▲,0 7▲
