순위,모델명,판매량,점유율,전월대비,전년대비
1,아반떼,6750,12.9,6103 647▲,4113 2637▲
2,그랜저,6211,11.8,5481 730▲,6100 111▲
3,싼타페,5593,10.7,5076 517▲,7884 2291▼
4,포터2,4667,8.9,3637 1030▲,5257 590▼
5,디 올 뉴 팰리세이드,4620,8.8,3727 893▲,0 4620▲
6,쏘나타 디 엣지,4588,8.7,4585 3▲,4074 514▲
7,투싼,4536,8.6,4735 199▼,3524 1012▲
8,스타리아,3717,7.1,3005 712▲,3123 594▲
9,코나,2423,4.6,1823 600▲,2395 28▲
10,버스/트럭 (현대),1525,2.9,1282 243▲,1282 243▲
11,캐스퍼 일렉트릭,1185,2.3,1061 124▲,0 1185▲
12,아이오닉 5,1090,2.1,1356 266▼,0 1090▲
13,포터2 일렉트릭,986,1.9,1532 546▼,2775 1789▼
14,캐스퍼,840,1.6,232 608▲,0 840▲
15,아이오닉 9,784,1.5,181 603▲,0 784▲
16,베뉴,583,1.1,697 114▼,283 300▲
17,아이오닉 6,558,1.1,346 212▲,936 378▼
18,마이티,527,1.0,527 0▼,623 96▼
19,코나 일렉트릭,446,0.8,411 35▲,352 94▲
20,넥쏘,296,0.6,248 48▲,268 28▲
21,쏠라티,176,0.3,146 30▲,161 15▲
22,카운티,152,0.3,164 12▼,154 2▼
23,ST1,109,0.2,201 92▼,0 109▲
24,아반떼 N,79,0.2,193 114▼,75 4▲
25,아이오닉 5 N,39,0.1,107 68▼,47 8▼
26,카운티 일렉트릭,20,0.0,22 2▼,9 11▲
