순위,모델명,판매량,점유율,전월대비,전년대비
1,그랜저,7433,13.7,6120 1313▲,8192 759▼
2,싼타페,7294,13.4,5314 1980▲,7946 652▼
3,투싼,6365,11.7,4553 1812▲,0 6365▲
4,아반떼,5928,10.9,3686 2242▲,4886 1042▲
5,포터2,5509,10.2,3517 1992▲,6171 662▼
6,쏘나타 디 엣지,5047,9.3,4890 157▲,4546 501▲
7,스타리아,3747,6.9,3194 553▲,3265 482▲
8,캐스퍼 일렉트릭,2186,4.0,2075 111▲,0 2186▲
9,코나,2140,3.9,2029 111▲,2597 457▼
10,버스/트럭 (현대),1626,3.0,1358 268▲,1379 247▲
11,팰리세이드,1517,2.8,1704 187▼,2825 1308▼
12,캐스퍼,1434,2.6,0 1434▲,0 1434▲
13,아이오닉 5,983,1.8,1084 101▼,0 983▲
14,아이오닉 6,866,1.6,368 498▲,472 394▲
15,마이티,502,0.9,560 58▼,705 203▼
16,베뉴,439,0.8,411 28▲,1182 743▼
17,포터2 일렉트릭,273,0.5,940 667▼,2407 2134▼
18,코나 일렉트릭,189,0.3,632 443▼,337 148▼
19,쏠라티,187,0.3,163 24▲,84 103▲
20,넥쏘,184,0.3,268 84▼,189 5▼
21,카운티,154,0.3,115 39▲,163 9▼
22,ST1,88,0.2,102 14▼,0 88▲
23,아이오닉 5 N,81,0.1,88 7▼,95 14▼
24,아반떼 N,64,0.1,61 3▲,131 67▼
25,카운티 일렉트릭,21,0.0,8 13▲,16 5▲
