순위,모델명,판매량,점유율,전월대비,전년대비
1,그랜저,7085,13.6,6100 985▲,9997 2912▼
2,싼타페,5847,11.3,7884 2037▼,0 5847▲
3,포터2,5748,11.1,5257 491▲,6183 435▼
4,아반떼,5698,11.0,4113 1585▲,5243 455▲
5,스타리아,4844,9.3,3123 1721▲,3407 1437▲
6,쏘나타 디 엣지,4695,9.0,4074 621▲,0 4695▲
7,투싼,4262,8.2,3524 738▲,0 4262▲
8,캐스퍼,3549,6.8,3442 107▲,3420 129▲
9,코나,2528,4.9,2395 133▲,4023 1495▼
10,팰리세이드,1789,3.4,1974 185▼,4096 2307▼
11,아이오닉 5,1549,3.0,0 1549▲,0 1549▲
12,버스/트럭 (현대),1414,2.7,1282 132▲,1066 348▲
13,포터2 일렉트릭,695,1.3,2775 2080▼,2885 2190▼
14,마이티,646,1.2,623 23▲,523 123▲
15,아이오닉 6,421,0.8,936 515▼,1316 895▼
16,베뉴,295,0.6,283 12▲,449 154▼
17,넥쏘,252,0.5,268 16▼,327 75▼
18,코나 일렉트릭,208,0.4,352 144▼,0 208▲
19,카운티,142,0.3,154 12▼,150 8▼
20,쏠라티,131,0.3,161 30▼,79 52▲
21,아반떼 N,108,0.2,75 33▲,0 108▲
22,아이오닉 5 N,35,0.1,47 12▼,0 35▲
23,카운티 일렉트릭,8,0.0,9 1▼,8 0▼
