순위,모델명,판매량,점유율,전월대비,전년대비
1,디 올 뉴 팰리세이드,7682,15.5,6661 1021▲,0 7682▲
2,아반떼,6310,12.8,6991 681▼,5658 652▲
3,싼타페,4969,10.0,6354 1385▼,5605 636▼
4,그랜저,4597,9.3,6080 1483▼,6884 2287▼
5,쏘나타 디 엣지,4134,8.4,4702 568▼,5820 1686▼
6,투싼,4088,8.3,5223 1135▼,4838 750▼
7,포터2,3720,7.5,4291 571▼,6193 2473▼
8,스타리아,3282,6.6,3727 445▼,2744 538▲
9,코나,1669,3.4,2424 755▼,2520 851▼
10,버스/트럭 (현대),1432,2.9,1354 78▲,1503 71▼
11,아이오닉 5,1226,2.5,1422 196▼,1559 333▼
12,베뉴,1157,2.3,760 397▲,603 554▲
13,아이오닉 9,867,1.8,1009 142▼,0 867▲
14,포터2 일렉트릭,778,1.6,1081 303▼,796 18▼
15,아이오닉 6,754,1.5,610 144▲,377 377▲
16,캐스퍼 일렉트릭,687,1.4,783 96▼,0 687▲
17,마이티,626,1.3,614 12▲,681 55▼
18,캐스퍼,583,1.2,672 89▼,0 583▲
19,코나 일렉트릭,253,0.5,298 45▼,253 0▼
20,카운티,169,0.3,188 19▼,170 1▼
21,쏠라티,155,0.3,199 44▼,146 9▲
22,아반떼 N,128,0.3,108 20▲,135 7▼
23,ST1,114,0.2,115 1▼,24 90▲
24,아이오닉 5 N,29,0.1,36 7▼,31 2▼
25,넥쏘,22,0.0,85 63▼,316 294▼
26,카운티 일렉트릭,18,0.0,17 1▲,12 6▲
