순위,모델명,판매량,점유율,전월대비,전년대비
1,쏘나타 디 엣지,5712,12.0,5820 108▼,2951 2761▲
2,그랜저,5703,12.0,6884 1181▼,11528 5825▼
3,싼타페,5000,10.5,5605 605▼,0 5000▲
4,포터2,4867,10.2,6193 1326▼,5745 878▼
5,아반떼,4664,9.8,5658 994▼,5298 634▼
6,투싼,4216,8.8,4838 622▼,0 4216▲
7,스타리아,3623,7.6,2744 879▲,3501 122▲
8,캐스퍼,3352,7.0,3861 509▼,3900 548▼
9,코나,2347,4.9,2520 173▼,2470 123▼
10,아이오닉 5,1727,3.6,1559 168▲,0 1727▲
11,버스/트럭 (현대),1612,3.4,1503 109▲,1574 38▲
12,팰리세이드,1273,2.7,1335 62▼,3164 1891▼
13,포터2 일렉트릭,948,2.0,796 152▲,2505 1557▼
14,마이티,651,1.4,681 30▼,681 30▼
15,베뉴,494,1.0,603 109▼,952 458▼
16,넥쏘,294,0.6,316 22▼,305 11▼
17,아이오닉 6,292,0.6,377 85▼,491 199▼
18,코나 일렉트릭,246,0.5,253 7▼,664 418▼
19,ST1,175,0.4,24 151▲,0 175▲
20,아반떼 N,142,0.3,135 7▲,0 142▲
21,쏠라티,135,0.3,146 11▼,98 37▲
22,카운티,111,0.2,170 59▼,190 79▼
23,아이오닉 5 N,107,0.2,31 76▲,0 107▲
24,카운티 일렉트릭,8,0.0,12 4▼,7 1▲
