순위,모델명,판매량,점유율,전월대비,전년대비
1,그랜저,9997,18.4,10916 919▼,0 9997▲
2,포터2,6183,11.4,7422 1239▼,8423 2240▼
3,아반떼,5243,9.6,6536 1293▼,0 5243▲
4,투싼,4112,7.5,4236 124▼,4175 63▼
5,팰리세이드,4096,7.5,4820 724▼,0 4096▲
6,코나,4023,7.4,4747 724▼,0 4023▲
7,캐스퍼,3420,6.3,3248 172▲,3420 0▼
8,스타리아,3407,6.3,3980 573▼,2387 1020▲
9,포터2 일렉트릭,2885,5.3,2860 25▲,0 2885▲
10,싼타페,2774,5.1,2977 203▼,1997 777▲
11,아이오닉 5,2123,3.9,1701 422▲,2963 840▼
12,쏘나타 뉴 라이즈,1603,2.9,1230 373▲,1509 94▲
13,아이오닉 6,1316,2.4,2200 884▼,0 1316▲
14,버스/트럭 (현대),1066,2.0,1694 628▼,884 182▲
15,쏘나타,629,1.2,985 356▼,2656 2027▼
16,마이티,523,1.0,585 62▼,600 77▼
17,베뉴,449,0.8,526 77▼,790 341▼
18,넥쏘,327,0.6,694 367▼,1294 967▼
19,카운티,150,0.3,165 15▼,126 24▲
20,쏠라티,79,0.1,124 45▼,71 8▲
21,아반떼 N,35,0.1,83 48▼,552 517▼
22,코나,25,0.0,54 29▼,737 712▼
23,카운티 일렉트릭,8,0.0,11 3▼,0 8▲
