순위,모델명,판매량,점유율,전월대비,전년대비
1,아반떼,5869,13.1,7489 1620▼,5928 59▼
2,그랜저,5074,11.3,5398 324▼,7433 2359▼
3,싼타페,4861,10.9,5763 902▼,7294 2433▼
4,쏘나타 디 엣지,4603,10.3,4787 184▼,5047 444▼
5,투싼,3909,8.7,5130 1221▼,6365 2456▼
6,디 올 뉴 팰리세이드,3829,8.6,4070 241▼,0 3829▲
7,포터2,3375,7.5,4322 947▼,5509 2134▼
8,코나,2530,5.7,2884 354▼,2140 390▲
9,스타리아,2420,5.4,3101 681▼,3747 1327▼
10,버스/트럭 (현대),2096,4.7,1702 394▲,1626 470▲
11,아이오닉 5,1098,2.5,2246 1148▼,983 115▲
12,캐스퍼 일렉트릭,971,2.2,970 1▲,2186 1215▼
13,아이오닉 9,667,1.5,1272 605▼,0 667▲
14,디 올 뉴 넥쏘,646,1.4,1239 593▼,0 646▲
15,포터2 일렉트릭,604,1.3,1003 399▼,273 331▲
16,베뉴,556,1.2,1002 446▼,439 117▲
17,캐스퍼,511,1.1,1174 663▼,1434 923▼
18,코나 일렉트릭,421,0.9,702 281▼,189 232▲
19,더 뉴 아이오닉 6,367,0.8,657 290▼,0 367▲
20,ST1,199,0.4,310 111▼,88 111▲
21,아반떼 N,145,0.3,186 41▼,64 81▲
22,아이오닉 5 N,11,0.0,23 12▼,81 70▼
