순위,모델명,판매량,점유율,전월대비,전년대비
1,그랜저,9815,17.7,9118 697▲,0 9815▲
2,아반떼,6257,11.3,6018 239▲,3365 2892▲
3,포터2,6227,11.3,6578 351▼,7995 1768▼
4,포터2 일렉트릭,4872,8.8,13 4859▲,0 4872▲
5,투싼,3561,6.4,3636 75▼,2684 877▲
6,팰리세이드,3539,6.4,3922 383▼,0 3539▲
7,스타리아,3416,6.2,2951 465▲,2057 1359▲
8,캐스퍼,3164,5.7,3070 94▲,3304 140▼
9,코나,3127,5.7,620 2507▲,0 3127▲
10,싼타페,2776,5.0,2124 652▲,1680 1096▲
11,아이오닉 5,1911,3.5,76 1835▲,3995 2084▼
12,아이오닉 6,1632,3.0,23 1609▲,0 1632▲
13,쏘나타,1228,2.2,1543 315▼,2977 1749▼
14,쏘나타 뉴 라이즈,1012,1.8,996 16▲,1199 187▼
15,넥쏘,884,1.6,307 577▲,650 234▲
16,버스/트럭 (현대),715,1.3,1107 392▼,953 238▼
17,베뉴,492,0.9,646 154▼,615 123▼
18,마이티,211,0.4,284 73▼,616 405▼
19,카운티,174,0.3,90 84▲,169 5▲
20,쏠라티,124,0.2,68 56▲,64 60▲
21,코나,98,0.2,233 135▼,892 794▼
22,아반떼 N,79,0.1,82 3▼,332 253▼
23,카운티 일렉트릭,3,0.0,8 5▼,0 3▲
24,그랜저,2,0.0,13 11▼,4490 4488▼
