순위,모델명,판매량,점유율,전월대비,전년대비
1,그랜저,8820,19.0,8531 289▲,0 8820▲
2,포터2,4616,10.0,5410 794▼,7792 3176▼
3,아반떼,4595,9.9,4000 595▲,0 4595▲
4,캐스퍼,3804,8.2,3706 98▲,3302 502▲
5,팰리세이드,3752,8.1,3264 488▲,3269 483▲
6,투싼,2976,6.4,3190 214▼,1962 1014▲
7,스타리아,2940,6.3,3242 302▼,2957 17▼
8,쏘나타 디 엣지,2600,5.6,2142 458▲,0 2600▲
9,코나,2340,5.0,2400 60▼,0 2340▲
10,싼타페,2225,4.8,2075 150▲,2534 309▼
11,포터2 일렉트릭,1371,3.0,3260 1889▼,0 1371▲
12,버스/트럭 (현대),1276,2.8,1275 1▲,1506 230▼
13,아이오닉 5,1061,2.3,1350 289▼,1998 937▼
14,베뉴,904,1.9,546 358▲,376 528▲
15,마이티,654,1.4,611 43▲,719 65▼
16,싼타페,550,1.2,0 550▲,0 550▲
17,쏘나타 뉴 라이즈,401,0.9,673 272▼,1513 1112▼
18,아이오닉 6,400,0.9,488 88▼,8 392▲
19,코나 일렉트릭,355,0.8,238 117▲,0 355▲
20,넥쏘,293,0.6,371 78▼,980 687▼
21,아반떼 N,163,0.4,2 161▲,0 163▲
22,카운티,144,0.3,145 1▼,100 44▲
23,쏠라티,118,0.3,114 4▲,13 105▲
24,카운티 일렉트릭,17,0.0,9 8▲,0 17▲
