순위,모델명,판매량,점유율,전월대비,전년대비
1,아반떼,7334,14.2,6310 1024▲,4664 2670▲
2,그랜저,5579,10.8,4597 982▲,5703 124▼
3,디 올 뉴 팰리세이드,5471,10.6,7682 2211▼,0 5471▲
4,싼타페,5443,10.5,4969 474▲,5000 443▲
5,투싼,4453,8.6,4088 365▲,4216 237▲
6,쏘나타 디 엣지,4216,8.2,4134 82▲,5712 1496▼
7,스타리아,3800,7.4,3282 518▲,3623 177▲
8,포터2,3692,7.2,3720 28▼,4867 1175▼
9,코나,2636,5.1,1669 967▲,2347 289▲
10,버스/트럭 (현대),1538,3.0,1432 106▲,1612 74▼
11,아이오닉 5,1464,2.8,1226 238▲,1727 263▼
12,베뉴,1086,2.1,1157 71▼,494 592▲
13,아이오닉 9,767,1.5,867 100▼,0 767▲
14,아이오닉 6,674,1.3,754 80▼,292 382▲
15,포터2 일렉트릭,660,1.3,778 118▼,948 288▼
16,캐스퍼 일렉트릭,620,1.2,687 67▼,0 620▲
17,마이티,595,1.2,626 31▼,651 56▼
18,캐스퍼,585,1.1,583 2▲,0 585▲
19,코나 일렉트릭,322,0.6,253 69▲,246 76▲
20,카운티,175,0.3,169 6▲,111 64▲
21,쏠라티,169,0.3,155 14▲,135 34▲
22,아반떼 N,151,0.3,128 23▲,142 9▲
23,ST1,77,0.1,114 37▼,175 98▼
24,디 올 뉴 넥쏘,50,0.1,0 50▲,0 50▲
25,카운티 일렉트릭,28,0.1,18 10▲,8 20▲
26,아이오닉 5 N,25,0.0,29 4▼,107 82▼
