순위,모델명,판매량,점유율,전월대비,전년대비
1,그랜저,10916,17.7,9815 1101▲,0 10916▲
2,포터2,7422,12.0,6227 1195▲,4708 2714▲
3,아반떼,6536,10.6,0 6536▲,0 6536▲
4,팰리세이드,4820,7.8,3539 1281▲,0 4820▲
5,코나,4747,7.7,3127 1620▲,0 4747▲
6,투싼,4236,6.9,3561 675▲,2740 1496▲
7,스타리아,3980,6.4,3416 564▲,2096 1884▲
8,캐스퍼,3248,5.3,3164 84▲,3725 477▼
9,싼타페,2977,4.8,2776 201▲,1860 1117▲
10,포터2 일렉트릭,2860,4.6,4872 2012▼,0 2860▲
11,아이오닉 6,2200,3.6,1632 568▲,0 2200▲
12,아이오닉 5,1701,2.8,1911 210▼,3208 1507▼
13,버스/트럭 (현대),1694,2.7,715 979▲,1400 294▲
14,쏘나타 뉴 라이즈,1230,2.0,1012 218▲,1054 176▲
15,쏘나타,985,1.6,1228 243▼,3263 2278▼
16,넥쏘,694,1.1,884 190▼,445 249▲
17,마이티,585,0.9,211 374▲,781 196▼
18,베뉴,526,0.9,492 34▲,673 147▼
19,카운티,165,0.3,174 9▼,161 4▲
20,쏠라티,124,0.2,124 0▼,93 31▲
21,아반떼 N,83,0.1,79 4▲,402 319▼
22,코나,54,0.1,98 44▼,712 658▼
23,카운티 일렉트릭,11,0.0,3 8▲,0 11▲
