순위,모델명,판매량,점유율,전월대비,전년대비
1,그랜저,6287,13.9,5703 584▲,8531 2244▼
2,쏘나타 디 엣지,5532,12.2,5712 180▼,2142 3390▲
3,싼타페,5248,11.6,5000 248▲,0 5248▲
4,포터2,4145,9.1,4867 722▼,5410 1265▼
5,아반떼,3873,8.5,4664 791▼,4000 127▼
6,스타리아,3575,7.9,3623 48▼,3242 333▲
7,캐스퍼,3425,7.6,3352 73▲,3706 281▼
8,투싼,3124,6.9,4216 1092▼,0 3124▲
9,코나,1906,4.2,2347 441▼,2400 494▼
10,아이오닉 5,1615,3.6,1727 112▼,0 1615▲
11,버스/트럭 (현대),1375,3.0,1612 237▼,1275 100▲
12,팰리세이드,1316,2.9,1273 43▲,3264 1948▼
13,포터2 일렉트릭,1032,2.3,948 84▲,3260 2228▼
14,마이티,690,1.5,651 39▲,611 79▲
15,코나 일렉트릭,508,1.1,246 262▲,238 270▲
16,베뉴,365,0.8,494 129▼,546 181▼
17,넥쏘,330,0.7,294 36▲,371 41▼
18,아이오닉 6,275,0.6,292 17▼,488 213▼
19,ST1,194,0.4,175 19▲,0 194▲
20,아이오닉 5 N,149,0.3,107 42▲,0 149▲
21,쏠라티,130,0.3,135 5▼,114 16▲
22,아반떼 N,102,0.2,142 40▼,2 100▲
23,카운티,95,0.2,111 16▼,145 50▼
24,카운티 일렉트릭,15,0.0,8 7▲,9 6▲
