순위,모델명,판매량,점유율,전월대비,전년대비
1,싼타페,7576,14.5,7294 282▲,8657 1081▼
2,쏘나타 디 엣지,6658,12.8,5047 1611▲,4574 2084▲
3,투싼,5583,10.7,6365 782▼,0 5583▲
4,아반떼,5283,10.1,5928 645▼,5713 430▼
5,그랜저,5047,9.7,7433 2386▼,7980 2933▼
6,스타리아,4094,7.8,3747 347▲,3342 752▲
7,포터2,3414,6.5,5509 2095▼,7849 4435▼
8,팰리세이드,2282,4.4,1517 765▲,3157 875▼
9,캐스퍼,2014,3.9,1434 580▲,0 2014▲
10,코나,1801,3.4,2140 339▼,2777 976▼
11,캐스퍼 일렉트릭,1731,3.3,2186 455▼,0 1731▲
12,버스/트럭 (현대),1478,2.8,1626 148▼,1418 60▲
13,포터2 일렉트릭,1268,2.4,273 995▲,1406 138▼
14,아이오닉 5,1158,2.2,983 175▲,0 1158▲
15,아이오닉 6,734,1.4,866 132▼,618 116▲
16,마이티,569,1.1,502 67▲,679 110▼
17,베뉴,395,0.8,439 44▼,776 381▼
18,코나 일렉트릭,233,0.4,189 44▲,432 199▼
19,카운티,198,0.4,154 44▲,241 43▼
20,ST1,173,0.3,88 85▲,0 173▲
21,아반떼 N,169,0.3,64 105▲,115 54▲
22,쏠라티,121,0.2,187 66▼,119 2▲
23,넥쏘,111,0.2,184 73▼,232 121▼
24,아이오닉 5 N,94,0.2,81 13▲,54 40▲
25,카운티 일렉트릭,35,0.1,21 14▲,11 24▲
