순위,모델명,판매량,점유율,전월대비,전년대비
1,아반떼,7489,13.3,7504 15▼,3686 3803▲
2,싼타페,5763,10.2,3303 2460▲,5314 449▲
3,그랜저,5398,9.6,5139 259▲,6120 722▼
4,투싼,5130,9.1,3873 1257▲,4553 577▲
5,쏘나타 디 엣지,4787,8.5,3527 1260▲,4890 103▼
6,포터2,4322,7.7,4253 69▲,3517 805▲
7,디 올 뉴 팰리세이드,4070,7.2,5232 1162▼,0 4070▲
8,스타리아,3101,5.5,3246 145▼,3194 93▼
9,코나,2884,5.1,2473 411▲,2029 855▲
10,아이오닉 5,2246,4.0,1640 606▲,1084 1162▲
11,버스/트럭 (현대),1702,3.0,1316 386▲,1358 344▲
12,아이오닉 9,1272,2.3,926 346▲,0 1272▲
13,디 올 뉴 넥쏘,1239,2.2,1203 36▲,0 1239▲
14,캐스퍼,1174,2.1,791 383▲,0 1174▲
15,포터2 일렉트릭,1003,1.8,1294 291▼,940 63▲
16,베뉴,1002,1.8,813 189▲,411 591▲
17,캐스퍼 일렉트릭,970,1.7,456 514▲,2075 1105▼
18,코나 일렉트릭,702,1.2,540 162▲,632 70▲
19,마이티,696,1.2,540 156▲,560 136▲
20,더 뉴 아이오닉 6,657,1.2,230 427▲,0 657▲
21,ST1,310,0.5,201 109▲,102 208▲
22,카운티,187,0.3,179 8▲,115 72▲
23,아반떼 N,186,0.3,151 35▲,61 125▲
24,쏠라티,131,0.2,152 21▼,163 32▼
25,아이오닉 5 N,23,0.0,22 1▲,88 65▼
26,카운티 일렉트릭,19,0.0,15 4▲,8 11▲
