순위,모델명,판매량,점유율,전월대비,전년대비
1,쏘렌토,10434,21.7,7962 2472▲,9364 1070▲
2,카니발,7516,15.6,5645 1871▲,5857 1659▲
3,셀토스,4887,10.1,6822 1935▼,4446 441▲
4,레이,4417,9.2,3036 1381▲,0 4417▲
5,K8,4336,9.0,4977 641▼,0 4336▲
6,스포티지,4100,8.5,0 4100▲,0 4100▲
7,K5,2645,5.5,3030 385▼,3783 1138▼
8,봉고 3,2335,4.8,2954 619▼,5512 3177▼
9,EV3,2284,4.7,2107 177▲,0 2284▲
10,모닝,1467,3.0,1464 3▲,2111 644▼
11,니로,1034,2.1,941 93▲,1293 259▼
12,봉고 3 EV,925,1.9,614 311▲,643 282▲
13,EV6,770,1.6,557 213▲,0 770▲
14,레이 EV,336,0.7,242 94▲,0 336▲
15,EV9,144,0.3,159 15▼,375 231▼
16,스포티지,133,0.3,5531 5398▼,5982 5849▼
17,니로 EV,128,0.3,17 111▲,248 120▼
18,버스 (기아),123,0.3,124 1▼,129 6▼
19,K9,99,0.2,127 28▼,236 137▼
20,모하비,78,0.2,98 20▼,313 235▼
21,니로 플러스,1,0.0,3 2▼,120 119▼
