순위,모델명,판매량,점유율,전월대비,전년대비
1,쏘렌토,8974,18.3,8671 303▲,0 8974▲
2,카니발,7643,15.6,7989 346▼,0 7643▲
3,스포티지,6736,13.7,6991 255▼,6018 718▲
4,셀토스,4748,9.7,3967 781▲,3891 857▲
5,K5,3577,7.3,2970 607▲,0 3577▲
6,봉고 3,3510,7.1,2957 553▲,4902 1392▼
7,레이,3172,6.5,3160 12▲,4155 983▼
8,K8,2016,4.1,2165 149▼,4569 2553▼
9,레이 EV,1520,3.1,812 708▲,0 1520▲
10,K3,1460,3.0,1315 145▲,1197 263▲
11,모닝,1416,2.9,1140 276▲,0 1416▲
12,EV6,1275,2.6,155 1120▲,3009 1734▼
13,봉고 3 EV,1180,2.4,180 1000▲,2016 836▼
14,니로,917,1.9,938 21▼,1482 565▼
15,모하비,298,0.6,241 57▲,710 412▼
16,EV9,183,0.4,124 59▲,0 183▲
17,K9,140,0.3,191 51▼,432 292▼
18,니로 EV,134,0.3,2 132▲,737 603▼
19,버스 (기아),127,0.3,100 27▲,126 1▲
20,니로 플러스,86,0.2,0 86▲,460 374▼
