순위,모델명,판매량,점유율,전월대비,전년대비
1,쏘렌토,9067,19.7,7454 1613▲,8671 396▲
2,카니발,7734,16.8,6068 1666▲,7989 255▼
3,스포티지,6568,14.3,6547 21▲,0 6568▲
4,셀토스,4764,10.3,4342 422▲,3967 797▲
5,레이,3774,8.2,3803 29▼,0 3774▲
6,봉고 3,2755,6.0,2428 327▲,2957 202▼
7,K5,2503,5.4,2583 80▼,2970 467▼
8,K8,2457,5.3,2297 160▲,0 2457▲
9,EV3,2257,4.9,429 1828▲,0 2257▲
10,EV6,1100,2.4,72 1028▲,0 1100▲
11,니로,800,1.7,560 240▲,938 138▼
12,모닝,765,1.7,1484 719▼,1140 375▼
13,봉고 3 EV,569,1.2,0 569▲,180 389▲
14,레이 EV,513,1.1,73 440▲,0 513▲
15,K9,164,0.4,123 41▲,191 27▼
16,버스 (기아),115,0.2,101 14▲,100 15▲
17,EV9,88,0.2,37 51▲,124 36▼
18,니로 EV,53,0.1,11 42▲,2 51▲
