순위,모델명,판매량,점유율,전월대비,전년대비
1,쏘렌토,6788,16.8,8978 2190▼,7962 1174▼
2,카니발,4515,11.2,6758 2243▼,5645 1130▼
3,스포티지,4055,10.1,6416 2361▼,0 4055▲
4,셀토스,3365,8.3,4965 1600▼,6822 3457▼
5,K5,3045,7.5,3127 82▼,3030 15▲
6,봉고 3,2847,7.1,2928 81▼,2954 107▼
7,레이,2591,6.4,2962 371▼,3036 445▼
8,K8,2129,5.3,2159 30▼,4977 2848▼
9,모닝,2062,5.1,1805 257▲,1464 598▲
10,PV5,1814,4.5,672 1142▲,0 1814▲
11,EV3,1423,3.5,1927 504▼,2107 684▼
12,EV5,1150,2.9,272 878▲,0 1150▲
13,니로,1122,2.8,1025 97▲,941 181▲
14,레이 EV,791,2.0,1041 250▼,242 549▲
15,EV6,747,1.9,1322 575▼,557 190▲
16,EV4,654,1.6,1151 497▼,0 654▲
17,타스만,611,1.5,777 166▼,0 611▲
18,버스/특수 (기아),438,1.1,137 301▲,124 314▲
19,EV9,144,0.4,147 3▼,159 15▼
20,K9,47,0.1,109 62▼,127 80▼
21,니로 EV,6,0.0,23 17▼,17 11▼
