순위,모델명,판매량,점유율,전월대비,전년대비
1,쏘렌토,7596,16.4,7307 289▲,0 7596▲
2,카니발,7050,15.2,8097 1047▼,0 7050▲
3,스포티지,6235,13.5,5815 420▲,6625 390▼
4,셀토스,5489,11.9,5399 90▲,4770 719▲
5,봉고 3,3148,6.8,3365 217▼,4171 1023▼
6,레이,2977,6.4,2285 692▲,4285 1308▼
7,K5,2702,5.8,2932 230▼,0 2702▲
8,EV3,1975,4.3,0 1975▲,0 1975▲
9,레이 EV,1407,3.0,1289 118▲,0 1407▲
10,K3,1373,3.0,1341 32▲,976 397▲
11,EV6,1344,2.9,0 1344▲,0 1344▲
12,모닝,1335,2.9,985 350▲,2033 698▼
13,K8,1154,2.5,1519 365▼,3513 2359▼
14,니로,1049,2.3,1210 161▼,1370 321▼
15,봉고 3 EV,567,1.2,439 128▲,1577 1010▼
16,K9,202,0.4,160 42▲,372 170▼
17,모하비,197,0.4,288 91▼,459 262▼
18,EV9,161,0.3,113 48▲,1251 1090▼
19,니로 EV,150,0.3,123 27▲,244 94▼
20,버스 (기아),113,0.2,122 9▼,127 14▼
21,니로 플러스,14,0.0,65 51▼,303 289▼
