순위,모델명,판매량,점유율,전월대비,전년대비
1,쏘렌토,6978,13.6,6499 479▲,5593 1385▲
2,스포티지,6418,12.6,6185 233▲,4513 1905▲
3,카니발,6358,12.4,6695 337▼,5590 768▲
4,셀토스,5224,10.2,4792 432▲,0 5224▲
5,K8,4469,8.7,4487 18▼,4012 457▲
6,레이,4372,8.5,4576 204▼,0 4372▲
7,봉고 3,3545,6.9,4194 649▼,4480 935▼
8,K5,2963,5.8,3166 203▼,2352 611▲
9,모닝,2245,4.4,2502 257▼,2414 169▼
10,K3,1540,3.0,975 565▲,1610 70▼
11,니로,1534,3.0,1468 66▲,2882 1348▼
12,EV6,1379,2.7,1894 515▼,1808 429▼
13,EV9,1334,2.6,0 1334▲,0 1334▲
14,봉고 3 EV,1026,2.0,1164 138▼,0 1026▲
15,모하비,510,1.0,318 192▲,1095 585▼
16,니로 EV,458,0.9,522 64▼,0 458▲
17,K9,366,0.7,310 56▲,79 287▲
18,니로 플러스,298,0.6,462 164▼,939 641▼
19,버스 (기아),120,0.2,110 10▲,112 8▲
20,스팅어,1,0.0,45 44▼,184 183▼
