순위,모델명,판매량,점유율,전월대비,전년대비
1,쏘렌토,7487,16.2,7865 378▼,0 7487▲
2,카니발,7211,15.6,6879 332▲,0 7211▲
3,스포티지,6644,14.4,7179 535▼,6185 459▲
4,셀토스,6120,13.3,5025 1095▲,4792 1328▲
5,봉고 3,3588,7.8,3980 392▼,4194 606▼
6,레이,3178,6.9,3244 66▼,4576 1398▼
7,K5,2406,5.2,3168 762▼,0 2406▲
8,K8,1873,4.1,1988 115▼,4487 2614▼
9,니로,1596,3.5,1597 1▼,1468 128▲
10,EV6,1380,3.0,1036 344▲,1894 514▼
11,레이 EV,1278,2.8,1216 62▲,0 1278▲
12,K3,995,2.2,1336 341▼,975 20▲
13,모닝,907,2.0,1421 514▼,0 907▲
14,봉고 3 EV,462,1.0,550 88▼,1164 702▼
15,K9,282,0.6,253 29▲,310 28▼
16,모하비,224,0.5,257 33▼,318 94▼
17,EV9,182,0.4,174 8▲,0 182▲
18,버스 (기아),118,0.3,122 4▼,110 8▲
19,니로 EV,113,0.2,218 105▼,522 409▼
20,니로 플러스,67,0.1,123 56▼,462 395▼
