순위,모델명,판매량,점유율,전월대비,전년대비
1,스포티지,5988,14.7,6235 247▼,5210 778▲
2,셀토스,5551,13.6,5489 62▲,3512 2039▲
3,카니발,5534,13.6,7050 1516▼,0 5534▲
4,EV3,4002,9.8,1975 2027▲,0 4002▲
5,쏘렌토,3502,8.6,7596 4094▼,0 3502▲
6,레이,2787,6.9,2977 190▼,4402 1615▼
7,봉고 3,2782,6.8,3148 366▼,3391 609▼
8,K8,2711,6.7,0 2711▲,0 2711▲
9,K5,2690,6.6,2702 12▼,0 2690▲
10,니로,1048,2.6,1049 1▼,1302 254▼
11,레이 EV,923,2.3,1407 484▼,0 923▲
12,모닝,910,2.2,1335 425▼,2910 2000▼
13,EV6,599,1.5,1344 745▼,0 599▲
14,K3,588,1.4,1373 785▼,1123 535▼
15,봉고 3 EV,382,0.9,567 185▼,610 228▼
16,모하비,204,0.5,197 7▲,379 175▼
17,K9,177,0.4,202 25▼,347 170▼
18,버스 (기아),110,0.3,113 3▼,102 8▲
19,EV9,92,0.2,161 69▼,408 316▼
20,니로 EV,61,0.1,150 89▼,392 331▼
21,니로 플러스,43,0.1,14 29▲,115 72▼
