순위,모델명,판매량,점유율,전월대비,전년대비
1,쏘렌토,7962,17.2,6628 1334▲,8777 815▼
2,셀토스,6822,14.7,4433 2389▲,3008 3814▲
3,카니발,5645,12.2,4900 745▲,0 5645▲
4,스포티지,5531,11.9,4541 990▲,4707 824▲
5,K8,4977,10.7,4724 253▲,0 4977▲
6,레이,3036,6.5,0 3036▲,0 3036▲
7,K5,3030,6.5,2277 753▲,0 3030▲
8,봉고 3,2954,6.4,2272 682▲,4183 1229▼
9,EV3,2107,4.5,2022 85▲,0 2107▲
10,모닝,1464,3.2,968 496▲,2225 761▼
11,니로,941,2.0,866 75▲,1359 418▼
12,봉고 3 EV,614,1.3,443 171▲,998 384▼
13,EV6,557,1.2,324 233▲,0 557▲
14,레이 EV,242,0.5,0 242▲,0 242▲
15,EV9,159,0.3,122 37▲,833 674▼
16,K9,127,0.3,163 36▼,226 99▼
17,버스 (기아),124,0.3,94 30▲,91 33▲
18,모하비,98,0.2,118 20▼,293 195▼
19,니로 EV,17,0.0,4 13▲,236 219▼
20,니로 플러스,3,0.0,3 0▼,218 215▼
