순위,모델명,판매량,점유율,전월대비,전년대비
1,쏘렌토,7454,19.4,8828 1374▼,9284 1830▼
2,스포티지,6547,17.0,8418 1871▼,0 6547▲
3,카니발,6068,15.8,7235 1167▼,7049 981▼
4,셀토스,4342,11.3,5512 1170▼,3944 398▲
5,레이,3803,9.9,4046 243▼,0 3803▲
6,K5,2583,6.7,2105 478▲,3336 753▼
7,봉고 3,2428,6.3,2505 77▼,3130 702▼
8,K8,2297,6.0,2354 57▼,0 2297▲
9,모닝,1484,3.9,2608 1124▼,1214 270▲
10,니로,560,1.5,1174 614▼,1220 660▼
11,EV3,429,1.1,461 32▼,0 429▲
12,K9,123,0.3,240 117▼,175 52▼
13,버스 (기아),101,0.3,132 31▼,122 21▼
14,레이 EV,73,0.2,173 100▼,0 73▲
15,EV6,72,0.2,155 83▼,0 72▲
16,EV9,37,0.1,109 72▼,449 412▼
17,니로 EV,11,0.0,11 0▼,19 8▼
