순위,모델명,판매량,점유율,전월대비,전년대비
1,쏘렌토,8068,17.9,9364 1296▼,0 8068▲
2,스포티지,5739,12.7,5982 243▼,6196 457▼
3,카니발,5305,11.7,5857 552▼,0 5305▲
4,봉고 3,3958,8.8,5512 1554▼,4486 528▼
5,셀토스,3758,8.3,4446 688▼,4493 735▼
6,K5,3563,7.9,3783 220▼,0 3563▲
7,레이,3269,7.2,3200 69▲,4309 1040▼
8,EV9,2688,6.0,375 2313▲,0 2688▲
9,K8,1859,4.1,2799 940▼,5072 3213▼
10,모닝,1808,4.0,2111 303▼,0 1808▲
11,K3,1346,3.0,1428 82▼,2229 883▼
12,니로,1172,2.6,1293 121▼,1684 512▼
13,레이 EV,985,2.2,1387 402▼,0 985▲
14,EV6,693,1.5,1096 403▼,1237 544▼
15,모하비,252,0.6,313 61▼,542 290▼
16,K9,223,0.5,236 13▼,604 381▼
17,봉고 3 EV,221,0.5,643 422▼,0 221▲
18,버스 (기아),106,0.2,129 23▼,64 42▲
19,니로 EV,84,0.2,248 164▼,0 84▲
20,니로 플러스,70,0.2,120 50▼,77 7▼
