순위,모델명,판매량,점유율,전월대비,전년대비
1,쏘렌토,10190,22.9,0 10190▲,0 10190▲
2,스포티지,5402,12.2,5210 192▲,4441 961▲
3,셀토스,4399,9.9,3512 887▲,3513 886▲
4,카니발,4366,9.8,4937 571▼,2228 2138▲
5,봉고 3,4061,9.1,3391 670▲,5578 1517▼
6,레이,3409,7.7,4402 993▼,3860 451▼
7,K8,2406,5.4,2457 51▼,3990 1584▼
8,K5,2280,5.1,2613 333▼,2055 225▲
9,모닝,1892,4.3,2910 1018▼,0 1892▲
10,니로,1505,3.4,1302 203▲,1426 79▲
11,EV9,1163,2.6,408 755▲,0 1163▲
12,K3,1036,2.3,1123 87▼,838 198▲
13,봉고 3 EV,706,1.6,610 96▲,0 706▲
14,EV6,601,1.4,948 347▼,2281 1680▼
15,모하비,317,0.7,379 62▼,1166 849▼
16,K9,232,0.5,347 115▼,260 28▼
17,니로 EV,176,0.4,392 216▼,0 176▲
18,버스 (기아),111,0.2,102 9▲,106 5▲
19,니로 플러스,103,0.2,115 12▼,935 832▼
20,레이 EV,55,0.1,0 55▲,0 55▲
