순위,모델명,판매량,점유율,전월대비,전년대비
1,쏘렌토,7923,17.1,7734 189▲,7307 616▲
2,카니발,6714,14.5,6651 63▲,8097 1383▼
3,스포티지,6363,13.7,5295 1068▲,0 6363▲
4,셀토스,5100,11.0,4257 843▲,5399 299▼
5,레이,2955,6.4,3194 239▼,0 2955▲
6,봉고 3,2900,6.3,2491 409▲,3365 465▼
7,K5,2873,6.2,3028 155▼,2932 59▼
8,K8,2423,5.2,2627 204▼,0 2423▲
9,EV3,1884,4.1,1866 18▲,0 1884▲
10,레이 EV,1305,2.8,806 499▲,0 1305▲
11,타스만,1302,2.8,1348 46▼,0 1302▲
12,모닝,1204,2.6,1527 323▼,985 219▲
13,EV4,1073,2.3,1373 300▼,0 1073▲
14,니로,999,2.2,1283 284▼,1210 211▼
15,EV6,727,1.6,957 230▼,0 727▲
16,봉고 3 EV,252,0.5,260 8▼,439 187▼
17,버스 (기아),115,0.2,114 1▲,122 7▼
18,EV9,113,0.2,178 65▼,113 0▼
19,K9,92,0.2,109 17▼,160 68▼
20,니로 EV,8,0.0,27 19▼,123 115▼
