순위,모델명,판매량,점유율,전월대비,전년대비
1,카니발,6039,12.1,6904 865▼,3127 2912▲
2,스포티지,5689,11.4,5492 197▲,3781 1908▲
3,셀토스,5552,11.1,3366 2186▲,0 5552▲
4,봉고 3 EV,5025,10.0,29 4996▲,0 5025▲
5,쏘렌토,4745,9.5,4611 134▲,4776 31▼
6,레이,4268,8.5,3585 683▲,0 4268▲
7,K8,4168,8.3,3451 717▲,2932 1236▲
8,봉고 3,4041,8.1,3626 415▲,6377 2336▼
9,K5,2653,5.3,2560 93▲,2562 91▲
10,모닝,2049,4.1,1813 236▲,1700 349▲
11,EV6,1951,3.9,0 1951▲,1706 245▲
12,니로,1170,2.3,1268 98▼,2336 1166▼
13,K3,1024,2.0,950 74▲,1573 549▼
14,모하비,504,1.0,482 22▲,950 446▼
15,니로 EV,418,0.8,1 417▲,0 418▲
16,K9,301,0.6,431 130▼,537 236▼
17,니로 플러스,292,0.6,0 292▲,0 292▲
18,스팅어,120,0.2,113 7▲,164 44▼
19,버스 (기아),96,0.2,71 25▲,50 46▲
