순위,모델명,판매량,점유율,전월대비,전년대비
1,카니발,7211,16.0,6714 497▲,7050 161▲
2,쏘렌토,7053,15.6,7923 870▼,7596 543▼
3,스포티지,5424,12.0,6363 939▼,0 5424▲
4,셀토스,4921,10.9,5100 179▼,5489 568▼
5,봉고 3,2952,6.5,2900 52▲,3148 196▼
6,K5,2868,6.4,2873 5▼,2702 166▲
7,레이,2327,5.2,2955 628▼,0 2327▲
8,EV3,2199,4.9,1884 315▲,1975 224▲
9,K8,2090,4.6,2423 333▼,0 2090▲
10,EV4,1485,3.3,1073 412▲,0 1485▲
11,레이 EV,1442,3.2,1305 137▲,0 1442▲
12,타스만,1271,2.8,1302 31▼,0 1271▲
13,니로,1027,2.3,999 28▲,1049 22▼
14,EV6,936,2.1,727 209▲,1344 408▼
15,모닝,838,1.9,1204 366▼,1335 497▼
16,봉고 3 EV,684,1.5,252 432▲,567 117▲
17,EV9,173,0.4,113 60▲,161 12▲
18,K9,113,0.3,92 21▲,202 89▼
19,버스 (기아),111,0.2,115 4▼,113 2▼
20,니로 EV,8,0.0,8 0▼,150 142▼
