순위,모델명,판매량,점유율,전월대비,전년대비
1,쏘렌토,8777,20.3,10190 1413▼,0 8777▲
2,스포티지,4707,10.9,5402 695▼,4950 243▼
3,봉고 3,4183,9.7,4061 122▲,6123 1940▼
4,카니발,3933,9.1,4366 433▼,5004 1071▼
5,레이,3524,8.1,3409 115▲,3363 161▲
6,셀토스,3008,7.0,4399 1391▼,3150 142▼
7,K5,2592,6.0,2280 312▲,2514 78▲
8,K8,2248,5.2,2406 158▼,3613 1365▼
9,모닝,2225,5.1,1892 333▲,0 2225▲
10,EV6,1564,3.6,601 963▲,2175 611▼
11,니로,1359,3.1,1505 146▼,1098 261▲
12,레이 EV,1300,3.0,55 1245▲,0 1300▲
13,봉고 3 EV,998,2.3,706 292▲,0 998▲
14,K3,939,2.2,1036 97▼,1500 561▼
15,EV9,833,1.9,1163 330▼,0 833▲
16,모하비,293,0.7,317 24▼,980 687▼
17,니로 EV,236,0.5,176 60▲,0 236▲
18,K9,226,0.5,232 6▼,371 145▼
19,니로 플러스,218,0.5,103 115▲,544 326▼
20,버스 (기아),91,0.2,111 20▼,90 1▲
