순위,모델명,판매량,점유율,전월대비,전년대비
1,쏘렌토,6628,17.3,3502 3126▲,10190 3562▼
2,카니발,4900,12.8,5534 634▼,0 4900▲
3,K8,4724,12.3,2711 2013▲,0 4724▲
4,스포티지,4541,11.9,5988 1447▼,5402 861▼
5,셀토스,4433,11.6,5551 1118▼,4399 34▲
6,레이,2589,6.8,2787 198▼,3409 820▼
7,K5,2277,5.9,2690 413▼,0 2277▲
8,봉고 3,2272,5.9,2782 510▼,4061 1789▼
9,EV3,2022,5.3,4002 1980▼,0 2022▲
10,모닝,968,2.5,910 58▲,1892 924▼
11,니로,866,2.3,1048 182▼,1505 639▼
12,레이 EV,774,2.0,923 149▼,55 719▲
13,봉고 3 EV,443,1.2,382 61▲,706 263▼
14,EV6,324,0.8,599 275▼,0 324▲
15,K9,163,0.4,177 14▼,232 69▼
16,EV9,122,0.3,92 30▲,1163 1041▼
17,모하비,118,0.3,204 86▼,317 199▼
18,버스 (기아),94,0.2,110 16▼,111 17▼
19,니로 EV,4,0.0,61 57▼,176 172▼
20,K3,4,0.0,588 584▼,1036 1032▼
21,니로 플러스,3,0.0,43 40▼,103 100▼
